Id,name,名称,sub_tech,tactic,url
T1001,Data Obfuscation,数据混淆,"T1001.001,T1001.002,T1001.003",Command And Control,https://attack.mitre.org/techniques/TT1001/
T1078,Valid Accounts,有效账户,"T1078.001,T1078.002,T1078.003,T1078.004,CAPEC-560","Defense Evasion,                                                    Persistence,                                                    Privilege Escalation,                                                    Initial Access",https://attack.mitre.org/techniques/TT1078/
T1072,Software Deployment Tools,软件部署工具,,"Execution,                                                    Lateral Movement",https://attack.mitre.org/techniques/TT1072/
T1070,Indicator Removal on Host,主机上的指示器移除,"T1070.001,T1070.002,T1070.003,T1070.004,T1070.005,T1070.006,CAPEC-93",Defense Evasion,https://attack.mitre.org/techniques/TT1070/
T1074,Data Staged,分段数据,"T1074.001,T1074.002",Collection,https://attack.mitre.org/techniques/TT1074/
T1068,Exploitation for Privilege Escalation,利用权限提升,,Privilege Escalation,https://attack.mitre.org/techniques/TT1068/
T1069,Permission Groups Discovery,权限组发现,"T1069.001,T1069.002,T1069.003,CAPEC-576",Discovery,https://attack.mitre.org/techniques/TT1069/
T1021.001,Remote Services:?Remote Desktop Protocol,远程服务：？远程桌面协议,"T1021,CAPEC-555",Lateral Movement,https://attack.mitre.org/techniques/TT1021.001/
T1071,Application Layer Protocol,应用层协议,"T1071.001,T1071.002,T1071.003,T1071.004",Command And Control,https://attack.mitre.org/techniques/TT1071/
T1021.002,Remote Services:?SMB/Windows Admin Shares,远程服务：？SMB/Windows管理员共享,"T1021,CAPEC-561",Lateral Movement,https://attack.mitre.org/techniques/TT1021.002/
T1542.003,Pre-OS Boot:?Bootkit,操作系统启动前：？装备包,T1542,"Persistence,                                                    Defense Evasion",https://attack.mitre.org/techniques/TT1542.003/
T1518.001,Software Discovery:?Security Software Discovery,软件发现：？安全软件发现,T1518,Discovery,https://attack.mitre.org/techniques/TT1518.001/
T1550.002,Use Alternate Authentication Material:?Pass the Hash,使用替代认证材料：？传递哈希值,"T1550,CAPEC-644","Defense Evasion,                                                    Lateral Movement",https://attack.mitre.org/techniques/TT1550.002/
T1027.005,Obfuscated Files or Information:?Indicator Removal from Tools,混淆的文件或信息：？从工具上移除指示器,T1027,Defense Evasion,https://attack.mitre.org/techniques/TT1027.005/
T1574.002,Hijack Execution Flow:?DLL Side-Loading,劫持执行流程：？DLL侧面加载,"T1574,CAPEC-capec","Persistence,                                                    Privilege Escalation,                                                    Defense Evasion",https://attack.mitre.org/techniques/TT1574.002/
T1579,Keychain,钥匙链,AUT-11,Credential Access,https://attack.mitre.org/techniques/TT1579/
T1577,Compromise Application Executable,折衷应用程序可执行文件,,Persistence,https://attack.mitre.org/techniques/TT1577/
T1575,Native Code,本机代码,,"Defense Evasion,                                                    Execution",https://attack.mitre.org/techniques/TT1575/
T1578,Modify Cloud Compute Infrastructure,修改云计算基础设施,"T1578.001,T1578.002,T1578.003,T1578.004",Defense Evasion,https://attack.mitre.org/techniques/TT1578/
T1573,Encrypted Channel,加密通道,"T1573.001,T1573.002",Command And Control,https://attack.mitre.org/techniques/TT1573/
T1576,Uninstall Malicious Application,卸载恶意应用程序,APP-43,Defense Evasion,https://attack.mitre.org/techniques/TT1576/
T1572,Protocol Tunneling,隧道协议,,Command And Control,https://attack.mitre.org/techniques/TT1572/
T1574,Hijack Execution Flow,劫持执行流程,"T1574.001,T1574.002,T1574.004,T1574.005,T1574.006,T1574.007,T1574.008,T1574.009,T1574.010,T1574.011,T1574.012","Persistence,                                                    Privilege Escalation,                                                    Defense Evasion",https://attack.mitre.org/techniques/TT1574/
T1570,Lateral Tool Transfer,横向刀具转移,,Lateral Movement,https://attack.mitre.org/techniques/TT1570/
T1569,System Services,系统服务,"T1569.001,T1569.002",Execution,https://attack.mitre.org/techniques/TT1569/
T1571,Non-Standard Port,非标准端口,,Command And Control,https://attack.mitre.org/techniques/TT1571/
T1565,Data Manipulation,数据操作,"T1565.001,T1565.002,T1565.003",Impact,https://attack.mitre.org/techniques/TT1565/
T1568,Dynamic Resolution,动态分辨率,"T1568.001,T1568.002,T1568.003",Command And Control,https://attack.mitre.org/techniques/TT1568/
T1564,Hide Artifacts,隐藏文物,"T1564.001,T1564.002,T1564.003,T1564.004,T1564.005,T1564.006",Defense Evasion,https://attack.mitre.org/techniques/TT1564/
T1566,Phishing,网络钓鱼,"T1566.001,T1566.002,T1566.003,CAPEC-98",Initial Access,https://attack.mitre.org/techniques/TT1566/
T1567,Exfiltration Over Web Service,基于Web服务的过滤,"T1567.001,T1567.002",Exfiltration,https://attack.mitre.org/techniques/TT1567/
T1563,Remote Service Session Hijacking,远程服务会话劫持,"T1563.001,T1563.002",Lateral Movement,https://attack.mitre.org/techniques/TT1563/
T1562,Impair Defenses,削弱防御,"T1562.001,T1562.002,T1562.003,T1562.004,T1562.006,T1562.007",Defense Evasion,https://attack.mitre.org/techniques/TT1562/
T1558,Steal or Forge Kerberos Tickets,偷或伪造Kerberos票证,"T1558.001,T1558.002,T1558.003",Credential Access,https://attack.mitre.org/techniques/TT1558/
T1561,Disk Wipe,磁盘擦除,"T1561.001,T1561.002",Impact,https://attack.mitre.org/techniques/TT1561/
T1559,Inter-Process Communication,进程间通信,"T1559.001,T1559.002",Execution,https://attack.mitre.org/techniques/TT1559/
T1557,Man-in-the-Middle,中间人,"T1557.001,CAPEC-94","Credential Access,                                                    Collection",https://attack.mitre.org/techniques/TT1557/
T1560,Archive Collected Data,存档收集的数据,"T1560.001,T1560.002,T1560.003",Collection,https://attack.mitre.org/techniques/TT1560/
T1556,Modify Authentication Process,修改身份验证过程,"T1556.001,T1556.002,T1556.003","Credential Access,                                                    Defense Evasion",https://attack.mitre.org/techniques/TT1556/
T1554,Compromise Client Software Binary,泄露客户端软件二进制文件,,Persistence,https://attack.mitre.org/techniques/TT1554/
